国家,行政区名称,Alpha,Beta,Sigma_km,"Corr(Y, λ)",p_value,显著
Palestine,Bandar-e-Mahshahr/Hendijan,0.004887085986474469,0.6576724307961314,150.00140781026803,0.10865311073202762,0.10052346170446086,
Palestine,Abadan,0.004886273646602568,0.6573228327910519,150.000668637375,0.10864018881071875,0.10052861600707802,
Palestine,Pakdasht,0.004885970046672748,0.6571382911041077,149.9999892445453,0.10868449514933107,0.10044111633924435,
Palestine,Shahriyar,0.004885198711956305,0.6567435601300454,150.00001132251123,0.10867848226990183,0.10043343482927358,
Palestine,Karaj,0.004884771300662213,0.656708776272722,150.00002815957038,0.10867957364393102,0.10042977041307088,
Palestine,Razan,0.0048729830184608735,0.6568107433831434,150.00038675346804,0.10867561791923079,0.10042852688511988,
Palestine,Ahvaz,0.004871694648244554,0.6579387711326239,150.00012900224775,0.10865905990014385,0.10050227322831606,
Palestine,Ilam,0.004846530208537062,0.6572936082706615,150.0013411234984,0.10865968392656826,0.10044287577190059,
Yemen,Dhamar City,0.004300486492511372,0.5089007923566018,149.9992659713999,0.028744228212843476,0.35223718946641874,
Lebanon,Akkar,0.0035981239040969886,0.99,150.00063627267767,0.14374868433188503,7.665953594454544e-05,✓
Yemen,Al Ghayl,0.0034679505312406305,0.9211640325610924,149.99644865465166,0.042632539408536105,0.19741047588125255,
Syria,Muhardeh,0.0034444144324429493,0.99,150.00187486377874,0.1973052812629805,0.00020986529266109333,✓
Palestine,Saravan,0.003376249409158972,0.9831756251016229,149.99870421609222,0.07135643808799672,0.03834829830080033,✓
Yemen,Baqim,0.0029327411111516695,0.6931337370249562,149.99999567520632,-0.0012309661462765267,0.5,
Yemen,Dimnat Khadir,0.002780940240525387,0.8069102523597252,149.99807856079008,0.020226039209534988,0.26064338370202755,
Yemen,Jabal Murad,0.002715045977124578,0.8115159439975671,149.9966994116103,0.021590710512339496,0.2545589818825359,
Yemen,Al Garrahi,0.002714260645463125,0.938771698918656,149.99712156246832,0.11874912825725199,0.04047862564430371,✓
Yemen,Al Mansura,0.0026232403980546064,0.42300049380040383,149.9988048522396,0.0009654121593060916,0.4662781826475824,
Yemen,Jabal Iyal Yazid,0.0026038847669155496,0.4232140506527537,149.99898851765528,0.0009604918391640445,0.46642402965976304,
Yemen,Haydan,0.002596228548024273,0.4232634019487015,149.99911138932637,0.0009595775151356005,0.4664493466809175,
Palestine,Kerman,0.001268259665399707,0.9114593023570471,149.99836187108613,0.012633102762080371,0.30638362491771454,
Yemen,Dhubab,0.0,0.6294780971816754,149.99977576041545,0.0,0.5,
Yemen,Hayfan,0.0,0.6973394508985895,149.99999897083143,0.0,0.5,
Yemen,Jabal Habashy,0.0,0.6320716482494627,149.99977096885283,0.0,0.5,
Yemen,Maqbanah,0.0,0.698169690830097,149.99999836168476,0.0,0.5,
Yemen,Al Mahfad,0.0,0.6116153888120789,149.99975918579307,0.0,0.499999195727569,
Yemen,Al Wade'a,0.0,0.4659787601754814,149.9989744695342,0.0,0.5,
Yemen,Ash Shamayatayn,0.0,0.46558719317657976,149.9990263097706,0.0,0.5,
Yemen,At Ta'iziyah,0.0,0.6936783345528613,149.99999899921588,0.0,0.5,
Palestine,Chahbahar,0.0,0.06403557727253983,149.99997740423865,0.0,0.5,
Palestine,Iranshahr,0.0,0.5540378560912453,149.9995771894532,0.0,0.4999980889466459,
Yemen,Al Mukha,0.0,0.6945960603939337,149.99999848693733,0.0,0.5,
Yemen,Al Qahirah,0.0,0.7028197370265672,149.99999859269914,0.0,0.5,
Yemen,Al Misrakh,0.0,0.6712128588598605,149.99989834971328,0.0,0.5,
Yemen,Al Mudhaffar,0.0,0.6909398764540094,149.99999904539223,0.0,0.5,
Yemen,As Sawadiyah,0.0,0.5961014008981511,149.99958889377555,0.0,0.5,
Yemen,Al Quraishyah,0.0,0.5898195449386014,149.999585378939,0.0,0.5,
