国家,行政区名称,Alpha,Beta,Sigma_km,"Corr(Y, λ)",p_value,显著
Syria,Darayya,0.015580661157198023,0.5863068962014666,150.00051020835068,0.03634726134111073,0.24956382420500567,
Yemen,Al Khawkhah,0.014879407128648285,0.6352214386577362,149.99987013859834,-0.08213809264229838,0.5,
Syria,Al-Qusayr,0.01440474483848706,0.99,149.9904101625394,0.27813545931426475,9.880984919163893e-15,✓
Yemen,Jahaf,0.014283483686165154,0.01,149.99614421017145,0.04577009703757548,0.17056949497778257,
Yemen,Al Husha,0.014229161402633347,0.01,149.99702859425352,0.024900018674561795,0.23064165122793495,
Yemen,Al Hawtah,0.014199129159401332,0.01,149.99703564065527,0.013507742517806164,0.28807070903079,
Yemen,Sarar,0.01419835463643614,0.01,149.99690243082316,0.012466060456942424,0.29508342347833805,
Yemen,Mustaba,0.014147642231466522,0.01,149.9973603409262,0.018048790170759353,0.2615873521808685,
Yemen,Hayran,0.01370490395409474,0.5254427922067139,149.99677882612357,0.007972892053530727,0.30532738210057064,
Lebanon,Bcharre,0.013687526040774771,0.01,150.00459555162558,0.13576090392903184,0.0789096851216981,
Lebanon,Koura,0.013613976773659043,0.01,150.00446646689048,0.0662321364011232,0.13527129590390757,
Palestine,Khorrambid,0.013243159262784585,0.065213250744025,149.99878355486615,0.01570512749644483,0.27490442313675906,
Palestine,Borujen,0.013180617973574761,0.06552782065154641,149.9994568014183,0.015692517844197826,0.27494346277291554,
Syria,Qatana,0.012026424706659931,0.9637365137961974,150.00039284148653,0.046675287261713695,0.058579059433122804,
Yemen,Ghayl Bin Yamin,0.011383925936797323,0.2173093409308392,149.99635405077402,0.1279826374336214,0.08506767180753727,
Yemen,Bayt Al Faqiah,0.011255537379024563,0.8954917044798989,149.99991476553024,0.03762750842096173,0.19455457182987368,
Yemen,As Said,0.011238815753604796,0.6865091975802758,149.999971989256,0.013012051951839498,0.3779398669968772,
Yemen,Habban,0.010887424743029598,0.6254302485688698,149.9973036551556,0.01102034985943749,0.28261364518164633,
Palestine,Zabol,0.010344818001494538,0.1991727723612278,149.99872282762132,0.005680529940958033,0.363329516522257,
Palestine,Rey,0.00984014685089641,0.6566848957941417,149.99968411573704,0.1086764219868524,0.03456834575848172,✓
Palestine,Eslamshahr,0.009834380872971542,0.6567439357022556,149.99978543920633,0.1086787244294081,0.03456608517649851,✓
Yemen,Arma,0.00868531017807287,0.3949180895374687,149.99677652588383,0.01804269969047421,0.2659073507407561,
Yemen,Mawza,0.008536975664270361,0.8818721205346203,506.1314166497524,0.12944146729632097,0.017909763369080345,✓
Yemen,Bayhan,0.008149960315674963,0.9417531249870973,149.99991560227573,0.059017769110939096,0.10651342606508069,
Yemen,Dar Sad,0.007351410159922703,0.8749870514795465,149.99723998382143,0.03443234806210093,0.2048025254708119,
Syria,Harem,0.00627728305399514,0.6939805001454079,150.00000657166538,0.004928242561680176,0.4461530542298619,
Palestine,Tubas,0.006155979894110869,0.987726242579678,150.00037564728325,0.15210901836296,0.0007907308701936011,✓
Palestine,Shemiranat,0.005844092045615797,0.5840394911960358,149.99996744742046,0.009554980052484034,0.32223769222976406,
Syria,Ar-Rastan,0.00560458255033971,0.975827588665612,150.00183765399865,0.14334657717096905,0.0006677837222351379,✓
Syria,Quneitra,0.005277882339591405,0.6994870803891038,150.0000022652274,0.0029924537196355004,0.46846199591253207,
Yemen,Dhi Na'im,0.005170362520996059,0.5027267933489069,149.99918997287176,0.015773946215941668,0.37899718908704866,
Yemen,Wald Rabi',0.0050042267083100726,0.48058199437968285,149.9996853067687,-0.0006259037133573357,0.5,
Palestine,Shahrud,0.004908596791843439,0.6567437506777158,150.0010402435308,0.10868548196357959,0.10045250689820512,
Palestine,Theran,0.004888227381709641,0.6568526599544321,149.99996439747758,0.10868146302316829,0.10043549392979528,
