国家,行政区名称,Alpha,Beta,"Corr(Y, λ)",P值,显著,事件总数
Syria,Tal Abyad,0.15869752882215485,0.7108866669277208,0.25530106791099894,1e-10,✓,340
Yemen,Ghamr,0.15827276648241348,1e-06,0.15842939939207254,0.02350754679699424,✓,6
Yemen,As Safra,0.15525102974637994,0.7594998067385562,0.3958195057475137,9.69021696217709e-10,✓,16
Lebanon,Zahleh,0.15505504553091212,0.8274977313271372,0.5063401988998192,1e-10,✓,108
Syria,A'zaz,0.14973545831728793,0.7191890593384069,0.28563842687337737,1e-10,✓,588
Syria,Jableh,0.14824872129756828,0.3664179510591665,0.11745293221928602,0.004757831187985839,✓,11
Lebanon,Jezzine,0.14647247876733602,0.7825037765257558,0.4582684924449402,1e-10,✓,346
Lebanon,Marjaayoun,0.14596804081338352,0.7599769842898093,0.7200384957092942,1e-10,✓,3393
Syria,Al Bab,0.14491350974448394,0.712396392247645,0.22943991287922635,1e-10,✓,205
Israel,HaDarom,0.14320795152362562,0.7922474789943079,0.5199398071644328,1e-10,✓,372
Yemen,Medghal,0.14308903562129344,0.501382801535516,0.1912623033174085,0.0008161528920933026,✓,11
Syria,As-Suwayda,0.1384716212251984,0.687784142020393,0.25169533643317754,4.8278555986325244e-08,✓,52
Syria,Damascus,0.13718350840482907,0.5118346376389359,0.16892700066696947,0.003464035951194988,✓,9
Lebanon,Bint Jbayl,0.13320108773985187,0.7889031346323637,0.8170932319995078,1e-10,✓,3258
Palestine,Zahedan,0.13292872531248096,1e-06,0.1031455546498874,0.03378453544387522,✓,7
Yemen,Bayt Al Faqiah,0.130962709741375,1e-06,0.10758485267062348,0.010804881905395247,✓,19
Yemen,Harib,0.13066675379400655,0.7671310103162268,0.09752996884488754,4.88814981861041e-05,✓,14
Syria,Deir ez-Zor,0.1296360925350766,0.7847405090941673,0.39453229096081727,1e-10,✓,632
Syria,Ath-Thawrah,0.12710817546877484,0.8125210714878335,0.3851734570259989,1e-10,✓,35
Syria,As-Suqaylabiyah,0.12520960758081295,0.8524824352769935,0.3702166739547607,1e-10,✓,609
Yemen,Az'zal,0.12467468797068573,0.8043155062523863,0.24977268221112242,5.054623664901836e-06,✓,9
Yemen,Nati',0.12419295412244764,0.7397303692380894,0.15722379220353816,0.0035684356498011938,✓,4
Syria,Al-Qusayr,0.1241101893055199,0.8444153832439892,0.31150786530339875,1e-10,✓,92
Yemen,Bajil,0.12213198714575621,0.40820023877168055,0.13015270963053097,0.005181124754893129,✓,19
Yemen,Al Husn,0.12092279631339858,0.813800901848311,0.17277680948735358,0.0017202526165984167,✓,3
Lebanon,Hasbaya,0.12062046792879956,0.8657569535789954,0.5888376791602414,1e-10,✓,1855
Yemen,Az Zahir,0.12000837788154284,0.1934849513618353,0.11398177432222771,0.01891147294268747,✓,15
Syria,Al-Mukharram,0.11886086946252897,0.3737865844703257,0.1293217290013723,0.01844126199369417,✓,9
Yemen,Salh,0.11550608780911595,0.7559183549991475,0.1727777898647965,1.7118721845788e-05,✓,30
Yemen,Al Wahdah,0.11441144520936536,0.8229663263802769,0.23261229418248605,8.14266392597518e-05,✓,6
Lebanon,Jubail,0.11279904825301648,0.8721671296306974,0.36224028790941587,1e-10,✓,30
Syria,Harem,0.10913076441422999,0.6151546225311844,0.16164161436007238,3.2356387420384713e-05,✓,39
