区ID,区名称,州名称,Alpha,Beta,"Corr(Y, λ)",P值,显著,事件总数
360,Roven'kivs'ka,Luhans'k,0.08980484186492714,0.6669471068483597,0.09570073868652194,0.0039708832490548684,True,12
121,Dzerzhyns'ka,Donets'k,0.08955469933164797,0.8900647086279257,0.5149391750515051,1e-10,True,1781
380,Mykola‹vs'ka,Mykolayiv,0.08740263491681113,0.8991422525897136,0.5685042246149941,1e-10,True,391
367,Svativs'kyi,Luhans'k,0.08718296590675392,0.8977656336228045,0.7391232299104147,1e-10,True,1105
182,Bohodukhivs'kyi,Kharkiv,0.08717105598579852,0.8842721419344413,0.33741215322956514,1e-10,True,129
83,Apostolivs'kyi,Dnipropetrovs'k,0.0868969868832586,0.9081219631015113,0.6111751524433516,1e-10,True,431
148,Pershotravnevyi,Donets'k,0.08598802263874883,0.506348415230014,0.08271253352650525,0.00755970264755923,True,20
211,Beryslavs'kyi,Kherson,0.08596092562766869,0.9146725062215434,0.6489197052662226,1e-10,True,4998
44,Shchors'kyi,Chernihiv,0.08358259033630228,0.9127255042104484,0.5796131597370738,1e-10,True,1082
589,Orikhivs'kyi,Zaporizhia,0.08352780335543916,0.9112864737180495,0.6362656107814392,1e-10,True,5488
604,Berdychivs'ka,Zhytomyr,0.08333104925156538,0.8261309448331351,0.1500598461588119,0.0025947919449526013,True,4
595,Tokmats'kyi,Zaporizhia,0.082909996190044,0.9039234223882593,0.5487311860484093,1e-10,True,365
348,Krasnoluts'ka,Luhans'k,0.0824947282189341,1e-06,0.0825198131263663,0.04509195135896199,True,11
225,Skadovs'kyi,Kherson,0.0822390395361174,0.8350243661500137,0.15685994445378065,4.381511925222181e-06,True,60
463,Rivnens'kyi,Rivne,0.08134797996904856,0.8753678660603634,0.13092956942854567,0.001141835782407119,True,3
128,Kostiantynivs'ka,Donets'k,0.08119010042592287,0.9033727798983403,0.4679821201965723,1e-10,True,512
116,Artemivs'ka,Donets'k,0.08115565493573088,0.9031685936215235,0.5250924773177591,1e-10,True,522
152,Slovians'ka,Donets'k,0.08008372943773802,0.8933357729923296,0.40117067175502547,1e-10,True,231
226,Tsiurupyns'kyi,Kherson,0.07992667949061551,0.9151664565592098,0.44108686084935084,1e-10,True,306
118,Dobropil's'ka,Donets'k,0.07936033213735505,0.9060116372834387,0.2801102622029174,1e-10,True,76
428,Karlivs'kyi,Poltava,0.079301963108366,0.7500204990022022,0.07920436104947659,0.02615419181919143,True,3
481,Lebedyns'kyi,Sumy,0.07916009035021884,0.863537090248693,0.19541546156499265,1.0056712407280344e-08,True,26
215,Holoprystans'kyi,Kherson,0.07870690951883691,0.8860400267550119,0.26539151724467586,1e-10,True,266
