区名称,州名称,Alpha,Beta,Sigma_km,"Corr(Y, λ)",p_value,显著
Ul'ianovs'kyi,Kirovohrad,0.004660719840223233,0.01752211533193758,149.99919963777594,0.050606941064297806,0.18673502625388716,
Krasnodons'kyi,Luhans'k,0.0046540055232553385,0.01,150.00261022140108,0.04671079085473917,0.19440208090408084,
Korops'kyi,Chernihiv,0.004639719711254802,0.01,150.00047287112125,0.020848216803893992,0.272683154500151,
Hrebinkivs'kyi,Poltava,0.004639503026731489,0.01,150.00009798074427,0.018880513146657344,0.2816725815614752,
n.a. ( 384),Donets'k,0.004604128843264371,0.01,150.00241675275004,0.013189179675292649,0.31245309264046905,
Antratsitivs'ka,Luhans'k,0.004594731161241248,0.01,150.0027959462938,0.010524417917934317,0.33023351129784384,
Ladyzhyns'ka,Vinnytsya,0.0045475729297130485,0.01,149.99865823396354,-0.018906135472769932,0.5,
Polons'kyi,Khmel'nyts'kyy,0.004464569880889684,0.01,149.9979437136263,-0.03575507647064951,0.5,
Dniprovs'kyi,Kiev City,0.004435228784185005,0.9209387383496092,149.9997926706747,0.034649371248016196,0.13080104782348106,
Stavyshchens'kyi,Kiev,0.004373924367923092,0.01,149.99896224592712,-0.04582301834541814,0.5,
Valkivs'kyi,Kharkiv,0.0043528970718934665,0.5603281905428624,150.00031111554756,0.00878849769286878,0.39987704431143856,
Talala‹vs'kyi,Chernihiv,0.004276878007895636,0.7987962305942833,150.00041600626855,0.024306356972297615,0.16650372565686217,
Skadovs'kyi,Kherson,0.004268193988511442,0.9811289411402052,150.00001140673348,0.046510957163420165,0.036364687446599375,✓
Drohobyts'ka,L'viv,0.003943502414038938,0.6110255364262591,149.9996862046035,0.0038585850875034276,0.4404832433416275,
Tiachivs'kyi,Zakarpattia,0.0038608248912138004,0.18803025695444125,149.9980238453433,0.044953513542830836,0.2047288725103077,
Borznians'kyi,Chernihiv,0.0037435180498780803,0.8698555250325627,149.99998623523257,0.02398598174029107,0.28276492313074875,
Mukachivs'kyi,Zakarpattia,0.003695063877123922,0.1461076480072015,149.99773553750316,0.027831907064041338,0.26094177351811165,
Kamianets'-Podil's'ka,Khmel'nyts'kyy,0.0035787619291955106,0.1488060966397053,149.99817277806193,0.008275918303347677,0.35919222862292943,
Nosivs'kyi,Chernihiv,0.003515053727542013,0.1564554968108364,149.99979364970375,0.012540352373095809,0.3309102496236328,
Chyhyryns'kyi,Cherkasy,0.0033870535148108646,0.647821133919245,150.00021639730707,0.032573485712039864,0.20368790130549724,
